127.0.0.1 - - [18/Oct/2020:17:35:33 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [18/Oct/2020:17:35:34 +0900] "GET /TODOLIST/index.jsp HTTP/1.1" 200 232
0:0:0:0:0:0:0:1 - - [18/Oct/2020:17:35:34 +0900] "GET /TODOLIST/login.jsp HTTP/1.1" 200 1832
0:0:0:0:0:0:0:1 - - [18/Oct/2020:17:35:34 +0900] "GET /TODOLIST/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2020:17:35:34 +0900] "GET /TODOLIST/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2020:17:35:34 +0900] "GET /TODOLIST/login6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2020:17:35:34 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [18/Oct/2020:17:36:00 +0900] "GET /TODOLIST/join.jsp HTTP/1.1" 200 3013
0:0:0:0:0:0:0:1 - - [18/Oct/2020:17:36:18 +0900] "POST /TODOLIST/joinAction.jsp HTTP/1.1" 200 264
0:0:0:0:0:0:0:1 - - [18/Oct/2020:17:36:40 +0900] "POST /TODOLIST/joinAction.jsp HTTP/1.1" 200 253
0:0:0:0:0:0:0:1 - - [18/Oct/2020:17:36:40 +0900] "GET /TODOLIST/Register_main_M1.jsp?userID=happyday HTTP/1.1" 200 8961
0:0:0:0:0:0:0:1 - - [18/Oct/2020:17:36:40 +0900] "GET /TODOLIST/main.jpg HTTP/1.1" 200 1418198
0:0:0:0:0:0:0:1 - - [18/Oct/2020:17:36:40 +0900] "POST /TODOLIST/UserDSearchServlet2?userDate=2020-10-18&userID=happyday HTTP/1.1" 200 13
0:0:0:0:0:0:0:1 - - [18/Oct/2020:17:36:52 +0900] "GET /TODOLIST/Register_main_Month.jsp?userID=happyday HTTP/1.1" 200 6123
0:0:0:0:0:0:0:1 - - [18/Oct/2020:17:36:52 +0900] "POST /TODOLIST/UserDSearchServlet4?userDate=&userID=happyday HTTP/1.1" 200 13
0:0:0:0:0:0:0:1 - - [18/Oct/2020:17:36:53 +0900] "GET /TODOLIST/Register_main_M2.jsp?userID=happyday HTTP/1.1" 200 8692
